id,title,vendor,productType,variantsCount/count,mf_status/value,sku,product/id,product/title,image,__parentId,image/altText,image/url
gid://shopify/MediaImage/5496040751162,,,,,,,,,,gid://shopify/Product/4321038598202,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200A-DETAIL_c5c588eb-da19-41cd-85e5-5402ec12c9bd.jpg?v=1573554321
gid://shopify/MediaImage/5496040783930,,,,,,,,,,gid://shopify/Product/4321038598202,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200A-LEG_a8a74fae-c6c4-4aef-9b17-d245764e4fd2.jpg?v=1573554321
gid://shopify/Product/4321038565434,Sibel Square Dining Table White,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/31033239437370,,,,,,DTB9200C,gid://shopify/Product/4321038565434,Sibel Square Dining Table White,,gid://shopify/Product/4321038565434,,
gid://shopify/MediaImage/5496040456250,,,,,,,,,,gid://shopify/Product/4321038565434,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200C-SIDE_cbb775ae-5a81-49a3-919c-08f6d7e5ebae.jpg?v=1573554315
gid://shopify/MediaImage/5496040489018,,,,,,,,,,gid://shopify/Product/4321038565434,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200C-FRONT_53b32dd2-176d-4a5c-840d-689d54118fb7.jpg?v=1573554315
gid://shopify/MediaImage/5496040521786,,,,,,,,,,gid://shopify/Product/4321038565434,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200C-DETAIL_0249ebe4-d515-434b-bacb-118a85738c30.jpg?v=1573554315
gid://shopify/MediaImage/5496040554554,,,,,,,,,,gid://shopify/Product/4321038565434,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9200C-LEG_90cafb0d-8ffa-4e5e-b4a1-6c65b48ce872.jpg?v=1573554315
gid://shopify/Product/7559592280288,Sicily Rectangle Dining Table White,Safavieh,Dining Tables,1,Active,,,,,,,
gid://shopify/ProductVariant/42434065301728,,,,,,DTB9213B,gid://shopify/Product/7559592280288,Sicily Rectangle Dining Table White,,gid://shopify/Product/7559592280288,,
gid://shopify/MediaImage/29209388417248,,,,,,,,,,gid://shopify/Product/7559592280288,,https://cdn.shopify.com/s/files/1/0220/3498/products/DTB9213B-SIDE2.jpg?v=1644862712
